context,question,answer
"My own darling girl,Some real hot weather we are having here & all workis now a case of shirt sleeve parades.  I'm so glad I bought my helmethere from Egypt, as we had heard those were not really necessary here &I daresay they are not, as many still wear caps, but I'm sure it ismuch better to have a helmet.  What we should do without the sea toswim in, I really do not know - it's a sin since it's being so dangerous. & I had 3 men killed swimming yesterday - It's only just the first shell, asafter it men can take cover, but a good deal of the bathing is nowdone at night to avoid risk.  I think they have taken to shellingus generally a good deal more than previously with some gunswhich outrange mine",What is this about?,"My own darling girl,Some real hot weather we are having here & all workis now a case of shirt sleeve parades"
"Sat.  Jan.  5, 1918 Weather: mild, clear Health: good Up at 6:00.  Reveille 6:15.  Breakfast, steak, oatmeal, coffee",What is this about?,Sat
"18/3/1916 Dearest Mother and Father, On coming in to the Y. M. C. A.  tonight I heard that there is another mail for Australia closing tomorrow afternoon, so I am taking the chance of sending you another few lines",What is this about?,"18/3/1916 Dearest Mother and Father, On coming in to the Y"
"Dearest Mother & all at HomeJust a short note to let youknow that I am in the best of health & disposition forthe New Year.  We heard the most glorious newsto-day that we will be at the Front in 3 months time. I can't tell you what a joy I felt on receiving thisglorious news.  I can tell you, Mother, all our boyswill give a good account of themselves, as their workis beautiful & their Gun Drill & Laying, splendid &we are simply itching to be right in the thick ofthe Fight.  Since we have been in Camp here, wehave been told that all our Drill has been altered& today, we started on the new stuff",What is this about?,Dearest Mother & all at HomeJust a short note to let youknow that I am in the best of health & disposition forthe New Year
"Don't be surprised or anxious if my letters are more irregular then usual - as transport islimited & if we go inland - mails will be few & far between - & also will be held up. I will write frequently, & chance the mails beingblocked.  Best of all good wishes - health - goodluck & very much love to you all - Much loveRollo",What is this about?,Don't be surprised or anxious if my letters are more irregular then usual - as transport islimited & if we go inland - mails will be few & far between - & also will be held up
"My Dear Little Wife H. M. T. S.  IonianWednesday March 3, 1915",What is this about?,My Dear Little Wife H
"Dear Father & Mother,-During the past few daysI have recd two cables - both from [[Armitage]] &dealing with George's departure.  The first one is from you Ithink saying G.  leaves at end of Feb, &the other isfrom Perth - from G.  himself I presume, saying heexpects to be in Eng.  in 8 weeks - tho as thecensor cut out the date of sending - I am notable to gauge exactly the date of his arrivalI got my Sp Leave tovisit England - (commencing tomorrow) but I willnot take it now, &am writing in asking them tohold it over for 4 weeks or so - &thus meet him",What is this about?,"Dear Father & Mother,-During the past few daysI have recd two cables - both from [[Armitage]] &dealing with George's departure"
Mena Camp3/1/1915 My Dear Father & Mother. The New Year passed without much to mark it. - - We have been doing a good deal of trench diggingthis week - & the men worked at it with a will. We built some of the latest type - they are peculiar torelate almost the simplest trench possible.  - Sir GeorgeReid has been out to see us - - Church Paradetoday - the Dean was much better; he is barracked withthe 3rd Battalion & they are bringing him up the way he shouldgo,What is this about?,Mena Camp3/1/1915 My Dear Father & Mother
"November 14,1917My dear General,This is just a shortline to offer you myheartiest congratulationson your promotion.  Itdiffers, I am sure, fromany other "" recognition ofbrilliant services to the country"" in that it willcause satisfaction andpride not only to therecipient, but also totens of thousands of menwhose soul he is.  Youknow now deeply I amdevoted to you, so thereis no need for me to tellyou that I feel exactlyas happy about it as anyman serving under you. News from Russia isstill conflicting.  Onething is certain - thatthis is the last phase oftreasonable indecisionand imbecility on thepart of the Government",What is this about?,"November 14,1917My dear General,This is just a shortline to offer you myheartiest congratulationson your promotion"
"My own darling girl. I have just got your letter of 20th & very glad toget it too, for it seemed such a long time since I had heard. I am awfully annoyed though to know that by then you had gotno letters at all from me here since our landing.  I have writtenyou a lot & I do hope they will all turn up in due course.  Thefirst one must have been about 3 days after we landed, so youshould easily have got it before 20th May, but I know the postsare very bad operating, worse from here than to us - at all eventsas far as your letters are concerned, for sending them through theWar Office as you do they sometimes come in the specialKing's Messenger bag to Sir Ian & I get them well before theordinary mail",What is this about?,My own darling girl
